threshold,accuracy,precision,recall,specificity,f1,balanced_accuracy,youden_j,tp,tn,fp,fn
0.05,0.42424242424242425,0.42424242424242425,1.0,0.0,0.5957446808510638,0.5,0.0,14,0,19,0
0.06,0.42424242424242425,0.42424242424242425,1.0,0.0,0.5957446808510638,0.5,0.0,14,0,19,0
0.07,0.42424242424242425,0.42424242424242425,1.0,0.0,0.5957446808510638,0.5,0.0,14,0,19,0
0.08,0.42424242424242425,0.42424242424242425,1.0,0.0,0.5957446808510638,0.5,0.0,14,0,19,0
0.09,0.42424242424242425,0.42424242424242425,1.0,0.0,0.5957446808510638,0.5,0.0,14,0,19,0
0.1,0.42424242424242425,0.42424242424242425,1.0,0.0,0.5957446808510638,0.5,0.0,14,0,19,0
0.11,0.42424242424242425,0.42424242424242425,1.0,0.0,0.5957446808510638,0.5,0.0,14,0,19,0
0.12,0.42424242424242425,0.42424242424242425,1.0,0.0,0.5957446808510638,0.5,0.0,14,0,19,0
0.13,0.45454545454545453,0.4375,1.0,0.05263157894736842,0.6086956521739131,0.5263157894736842,0.05263157894736836,14,1,18,0
0.14,0.45454545454545453,0.4375,1.0,0.05263157894736842,0.6086956521739131,0.5263157894736842,0.05263157894736836,14,1,18,0
0.15,0.45454545454545453,0.4375,1.0,0.05263157894736842,0.6086956521739131,0.5263157894736842,0.05263157894736836,14,1,18,0
0.16,0.45454545454545453,0.4375,1.0,0.05263157894736842,0.6086956521739131,0.5263157894736842,0.05263157894736836,14,1,18,0
0.17,0.48484848484848486,0.45161290322580644,1.0,0.10526315789473684,0.6222222222222222,0.5526315789473684,0.10526315789473673,14,2,17,0
0.18,0.5151515151515151,0.4666666666666667,1.0,0.15789473684210525,0.6363636363636364,0.5789473684210527,0.1578947368421053,14,3,16,0
0.19,0.5454545454545454,0.4827586206896552,1.0,0.21052631578947367,0.6511627906976745,0.6052631578947368,0.21052631578947367,14,4,15,0
0.2,0.5454545454545454,0.4827586206896552,1.0,0.21052631578947367,0.6511627906976745,0.6052631578947368,0.21052631578947367,14,4,15,0
0.21,0.5454545454545454,0.4827586206896552,1.0,0.21052631578947367,0.6511627906976745,0.6052631578947368,0.21052631578947367,14,4,15,0
0.22,0.5454545454545454,0.4827586206896552,1.0,0.21052631578947367,0.6511627906976745,0.6052631578947368,0.21052631578947367,14,4,15,0
0.23,0.5454545454545454,0.4827586206896552,1.0,0.21052631578947367,0.6511627906976745,0.6052631578947368,0.21052631578947367,14,4,15,0
0.24,0.5454545454545454,0.4827586206896552,1.0,0.21052631578947367,0.6511627906976745,0.6052631578947368,0.21052631578947367,14,4,15,0
0.25,0.5454545454545454,0.4827586206896552,1.0,0.21052631578947367,0.6511627906976745,0.6052631578947368,0.21052631578947367,14,4,15,0
0.26,0.5757575757575758,0.5,1.0,0.2631578947368421,0.6666666666666666,0.631578947368421,0.26315789473684204,14,5,14,0
0.27,0.6060606060606061,0.5185185185185185,1.0,0.3157894736842105,0.6829268292682927,0.6578947368421053,0.3157894736842106,14,6,13,0
0.28,0.5757575757575758,0.5,0.9285714285714286,0.3157894736842105,0.65,0.6221804511278195,0.244360902255639,13,6,13,1
0.29,0.6060606060606061,0.52,0.9285714285714286,0.3684210526315789,0.6666666666666666,0.6484962406015038,0.2969924812030076,13,7,12,1
0.3,0.6060606060606061,0.52,0.9285714285714286,0.3684210526315789,0.6666666666666666,0.6484962406015038,0.2969924812030076,13,7,12,1
0.31,0.6060606060606061,0.52,0.9285714285714286,0.3684210526315789,0.6666666666666666,0.6484962406015038,0.2969924812030076,13,7,12,1
0.32,0.6363636363636364,0.5416666666666666,0.9285714285714286,0.42105263157894735,0.6842105263157895,0.674812030075188,0.34962406015037595,13,8,11,1
0.33,0.6060606060606061,0.5217391304347826,0.8571428571428571,0.42105263157894735,0.6486486486486487,0.6390977443609023,0.27819548872180455,12,8,11,2
0.34,0.5757575757575758,0.5,0.7857142857142857,0.42105263157894735,0.6111111111111112,0.6033834586466165,0.20676691729323293,11,8,11,3
0.35,0.6060606060606061,0.5263157894736842,0.7142857142857143,0.5263157894736842,0.6060606060606061,0.6203007518796992,0.24060150375939848,10,10,9,4
0.36,0.6060606060606061,0.5263157894736842,0.7142857142857143,0.5263157894736842,0.6060606060606061,0.6203007518796992,0.24060150375939848,10,10,9,4
0.37,0.6363636363636364,0.5555555555555556,0.7142857142857143,0.5789473684210527,0.625,0.6466165413533835,0.29323308270676707,10,11,8,4
0.38,0.6363636363636364,0.5625,0.6428571428571429,0.631578947368421,0.6,0.637218045112782,0.27443609022556403,9,12,7,5
0.39,0.6363636363636364,0.5625,0.6428571428571429,0.631578947368421,0.6,0.637218045112782,0.27443609022556403,9,12,7,5
0.4,0.6363636363636364,0.5625,0.6428571428571429,0.631578947368421,0.6,0.637218045112782,0.27443609022556403,9,12,7,5
0.41,0.6363636363636364,0.5625,0.6428571428571429,0.631578947368421,0.6,0.637218045112782,0.27443609022556403,9,12,7,5
0.42,0.6363636363636364,0.5625,0.6428571428571429,0.631578947368421,0.6,0.637218045112782,0.27443609022556403,9,12,7,5
0.43,0.6363636363636364,0.5625,0.6428571428571429,0.631578947368421,0.6,0.637218045112782,0.27443609022556403,9,12,7,5
0.44,0.6363636363636364,0.5625,0.6428571428571429,0.631578947368421,0.6,0.637218045112782,0.27443609022556403,9,12,7,5
0.45,0.6363636363636364,0.5625,0.6428571428571429,0.631578947368421,0.6,0.637218045112782,0.27443609022556403,9,12,7,5
0.46,0.6363636363636364,0.5625,0.6428571428571429,0.631578947368421,0.6,0.637218045112782,0.27443609022556403,9,12,7,5
0.47,0.6363636363636364,0.5625,0.6428571428571429,0.631578947368421,0.6,0.637218045112782,0.27443609022556403,9,12,7,5
0.48,0.6363636363636364,0.5714285714285714,0.5714285714285714,0.6842105263157895,0.5714285714285714,0.6278195488721805,0.255639097744361,8,13,6,6
0.49,0.6666666666666666,0.6153846153846154,0.5714285714285714,0.7368421052631579,0.5925925925925926,0.6541353383458646,0.30827067669172914,8,14,5,6
0.5,0.696969696969697,0.6666666666666666,0.5714285714285714,0.7894736842105263,0.6153846153846154,0.6804511278195489,0.3609022556390977,8,15,4,6
0.51,0.696969696969697,0.6666666666666666,0.5714285714285714,0.7894736842105263,0.6153846153846154,0.6804511278195489,0.3609022556390977,8,15,4,6
0.52,0.7272727272727273,0.7272727272727273,0.5714285714285714,0.8421052631578947,0.64,0.706766917293233,0.4135338345864661,8,16,3,6
0.53,0.7272727272727273,0.7272727272727273,0.5714285714285714,0.8421052631578947,0.64,0.706766917293233,0.4135338345864661,8,16,3,6
0.54,0.7575757575757576,0.8,0.5714285714285714,0.8947368421052632,0.6666666666666666,0.7330827067669172,0.46616541353383445,8,17,2,6
0.55,0.7878787878787878,0.8888888888888888,0.5714285714285714,0.9473684210526315,0.6956521739130435,0.7593984962406015,0.518796992481203,8,18,1,6
0.56,0.7878787878787878,0.8888888888888888,0.5714285714285714,0.9473684210526315,0.6956521739130435,0.7593984962406015,0.518796992481203,8,18,1,6
0.57,0.7878787878787878,0.8888888888888888,0.5714285714285714,0.9473684210526315,0.6956521739130435,0.7593984962406015,0.518796992481203,8,18,1,6
0.58,0.7878787878787878,0.8888888888888888,0.5714285714285714,0.9473684210526315,0.6956521739130435,0.7593984962406015,0.518796992481203,8,18,1,6
0.59,0.7575757575757576,0.875,0.5,0.9473684210526315,0.6363636363636364,0.7236842105263157,0.4473684210526314,7,18,1,7
0.6,0.7575757575757576,0.875,0.5,0.9473684210526315,0.6363636363636364,0.7236842105263157,0.4473684210526314,7,18,1,7
0.61,0.7575757575757576,0.875,0.5,0.9473684210526315,0.6363636363636364,0.7236842105263157,0.4473684210526314,7,18,1,7
0.62,0.7878787878787878,1.0,0.5,1.0,0.6666666666666666,0.75,0.5,7,19,0,7
0.63,0.7878787878787878,1.0,0.5,1.0,0.6666666666666666,0.75,0.5,7,19,0,7
0.64,0.7878787878787878,1.0,0.5,1.0,0.6666666666666666,0.75,0.5,7,19,0,7
0.65,0.7878787878787878,1.0,0.5,1.0,0.6666666666666666,0.75,0.5,7,19,0,7
0.66,0.7878787878787878,1.0,0.5,1.0,0.6666666666666666,0.75,0.5,7,19,0,7
0.67,0.7878787878787878,1.0,0.5,1.0,0.6666666666666666,0.75,0.5,7,19,0,7
0.68,0.7575757575757576,1.0,0.42857142857142855,1.0,0.6,0.7142857142857143,0.4285714285714286,6,19,0,8
0.69,0.7575757575757576,1.0,0.42857142857142855,1.0,0.6,0.7142857142857143,0.4285714285714286,6,19,0,8
0.7,0.7575757575757576,1.0,0.42857142857142855,1.0,0.6,0.7142857142857143,0.4285714285714286,6,19,0,8
0.71,0.7575757575757576,1.0,0.42857142857142855,1.0,0.6,0.7142857142857143,0.4285714285714286,6,19,0,8
0.72,0.7575757575757576,1.0,0.42857142857142855,1.0,0.6,0.7142857142857143,0.4285714285714286,6,19,0,8
0.73,0.7575757575757576,1.0,0.42857142857142855,1.0,0.6,0.7142857142857143,0.4285714285714286,6,19,0,8
0.74,0.7272727272727273,1.0,0.35714285714285715,1.0,0.5263157894736842,0.6785714285714286,0.3571428571428572,5,19,0,9
0.75,0.7272727272727273,1.0,0.35714285714285715,1.0,0.5263157894736842,0.6785714285714286,0.3571428571428572,5,19,0,9
0.76,0.6666666666666666,1.0,0.21428571428571427,1.0,0.35294117647058826,0.6071428571428571,0.2142857142857142,3,19,0,11
0.77,0.6666666666666666,1.0,0.21428571428571427,1.0,0.35294117647058826,0.6071428571428571,0.2142857142857142,3,19,0,11
0.78,0.6666666666666666,1.0,0.21428571428571427,1.0,0.35294117647058826,0.6071428571428571,0.2142857142857142,3,19,0,11
0.79,0.6060606060606061,1.0,0.07142857142857142,1.0,0.13333333333333333,0.5357142857142857,0.0714285714285714,1,19,0,13
0.8,0.6060606060606061,1.0,0.07142857142857142,1.0,0.13333333333333333,0.5357142857142857,0.0714285714285714,1,19,0,13
0.81,0.6060606060606061,1.0,0.07142857142857142,1.0,0.13333333333333333,0.5357142857142857,0.0714285714285714,1,19,0,13
0.82,0.6060606060606061,1.0,0.07142857142857142,1.0,0.13333333333333333,0.5357142857142857,0.0714285714285714,1,19,0,13
0.83,0.6060606060606061,1.0,0.07142857142857142,1.0,0.13333333333333333,0.5357142857142857,0.0714285714285714,1,19,0,13
0.84,0.6060606060606061,1.0,0.07142857142857142,1.0,0.13333333333333333,0.5357142857142857,0.0714285714285714,1,19,0,13
0.85,0.6060606060606061,1.0,0.07142857142857142,1.0,0.13333333333333333,0.5357142857142857,0.0714285714285714,1,19,0,13
0.86,0.6060606060606061,1.0,0.07142857142857142,1.0,0.13333333333333333,0.5357142857142857,0.0714285714285714,1,19,0,13
0.87,0.6060606060606061,1.0,0.07142857142857142,1.0,0.13333333333333333,0.5357142857142857,0.0714285714285714,1,19,0,13
0.88,0.6060606060606061,1.0,0.07142857142857142,1.0,0.13333333333333333,0.5357142857142857,0.0714285714285714,1,19,0,13
0.89,0.6060606060606061,1.0,0.07142857142857142,1.0,0.13333333333333333,0.5357142857142857,0.0714285714285714,1,19,0,13
0.9,0.6060606060606061,1.0,0.07142857142857142,1.0,0.13333333333333333,0.5357142857142857,0.0714285714285714,1,19,0,13
0.91,0.5757575757575758,0.0,0.0,1.0,0.0,0.5,0.0,0,19,0,14
0.92,0.5757575757575758,0.0,0.0,1.0,0.0,0.5,0.0,0,19,0,14
0.93,0.5757575757575758,0.0,0.0,1.0,0.0,0.5,0.0,0,19,0,14
0.94,0.5757575757575758,0.0,0.0,1.0,0.0,0.5,0.0,0,19,0,14
0.95,0.5757575757575758,0.0,0.0,1.0,0.0,0.5,0.0,0,19,0,14
